OID,fire_name,Shape_Leng,Shape_Area,Year,State,Acreage,Structures,Fatalities,Evacuated_Thousands,Time_Burni,Cost_Millions,Cause_Flag,Cause_Text,Links,Notes
22,Hayman Fire,204941.886,989898837,2002,CO,138114,133,6,53,4,80,Human,Arson,https://en.wikipedia.org/wiki/Hayman_Fire,
1,McNally Fire,309987.1235,973106646.9,2002,CA,150696,17,0,1,5,46,Human,Illegal camping fire,https://en.wikipedia.org/wiki/McNally_Fire, 
2,Cedar Fire,339507.7527,1661391616,2003,CA,273246,2820,15,390,5,1300,Human,Signal Fire,https://en.wikipedia.org/wiki/Cedar_Fire, 
3,Esperanza Fire,101816.8847,243151246.9,2006,CA,41173,59,5,26,1,9,Human,Arson,https://en.wikipedia.org/wiki/Esperanza_Fire, 
4,Wallow Fire,738954.9165,3161861820,2011,AZ,538049,72,0,73,6,109,Human,Illegal camping fire,https://en.wikipedia.org/wiki/Wallow_Fire,Largest single fire ever recorded in the lower 48 states.
5,Las Conchas Fire,440306.3162,967018461,2011,NM,156593,49,0,120,5,49,Human,Downed Power Lines,https://en.wikipedia.org/wiki/Las_Conchas_Fire, 
6,Bastrop County Complex,82296.58957,190303979.3,2011,TX,34356,1731,4,50,4,325,Human,Sparkrs from damaged power lines,https://en.wikipedia.org/wiki/Bastrop_County_Complex_Fire,"Circumstances were further exacerbated by Tropical Storm Lee, which produced strong winds over the Labor Day weekend, creating ideal conditions for wildfires to spread.[18] Between September 4 and September 6, reports indicated that 63 new fires were s"
7,Old Fire,15103.43445,5705265.543,2003,CA,91281,975,6,230,1,1200,Human,Arson,https://en.wikipedia.org/wiki/Old_Fire, 
8,Waldo Canyon Fire,194277.1808,122298447,2012,CO,18247,346,2,320,3,454,Human,Unknown Human,https://en.wikipedia.org/wiki/Waldo_Canyon_Fire,The largest wildfire in New Mexico state history
9,Yarnell Hill Fire,41462.94624,47225897.28,2013,AZ,8400,129,19,13,3,900,Natural,Lightning Strikes,https://en.wikipedia.org/wiki/Yarnell_Hill_Fire,"Yarnell also killed more firefighters than any incident since the September 11 attacks on 9/11. That disaster killed 343 firefighters. The Yarnell Hill Fire is the sixth-deadliest American firefighter disaster in history, the deadliest wildfire ever"
10,Black Forest Fire,149657.2015,88122837.09,2013,CO,14280,511,2,380,1,90,Human,Unknown Human,https://en.wikipedia.org/wiki/Black_Forest_Fire, 
11,Rim Fire,434286.1237,1672767553,2013,CA,257314,112,0,150,10,127,Human,Illegal camping fire,https://en.wikipedia.org/wiki/Rim_Fire,The United States Forest Service made it their highest priority fire at the time because of the threat to local communities and its proximity to Yosemite National Park.
12,Carlton Complex,657563.8889,2330696540,2014,WA,256108,502,2,30,5,98,Natural,Lightning Strikes,https://en.wikipedia.org/wiki/Carlton_Complex_Fire, 
13,Okanogan Complex,1366138.513,2867484119,2015,WA,145282,120,3,26,4,45,Natural,Lightning Strikes,https://en.wikipedia.org/wiki/Okanogan_Complex_Fire, 
14,Thomas Fire,534069.191,1681719664,2017,CA,270000,1063,23,1045,6,2200,Human,Downed Power Lines,https://en.wikipedia.org/wiki/Thomas_Fire,Largest wildfire in modern California history at the time
15,Lodgepole Complex,458520.657,2371714488,2017,MT,270000,16,0,1,2,2,Natural,Lightning Strikes,https://en.wikipedia.org/wiki/Lodgepole_Complex_Fire, 
16,Lolo Peak Fire,467850.874,462618244.8,2017,MT,53902,2,1,30,8,35,Natural,Lightning Strikes,https://en.wikipedia.org/wiki/Lolo_Peak_Fire,Multiple civilian drones preventing fire fighting efforts due to mid air collision safety concerns
17,Carr Fire,123952.4355,328777096.1,2018,CA,229651,1604,8,380,5,1659,Human,Sparks from tire failure of a vehicle,https://en.wikipedia.org/wiki/Carr_Fire,seventh-largest wildfire recorded in modern California history
18,Woolsey Fire,250299.9092,573850478.1,2018,CA,96949,1643,3,2950,2,6000,Human,Under Investigation,https://en.wikipedia.org/wiki/Woolsey_Fire, 
19,Camp Fire,405925.6266,1051100905,2018,CA,153336,18804,85,520,3,16500,Human,Electrical Transmission by PG&E,https://en.wikipedia.org/wiki/Camp_Fire_(2018),the most expensive natural disaster in the world in 2018 in terms of insured losses
20,Mendocino Complex,450086.7868,2774859061,2018,CA,459123,229,2,140,15,267,Human,Ranch Fire caused by man trying to plug the entrance of a wasp nest with a hammer and stake,https://en.wikipedia.org/wiki/Mendocino_Complex_Fire, 
21,Whitewater Baldy Complex,1116513.054,1730419827,2012,NM,289478,12,0,10,18,23,Natural,Lightning Strikes, https://en.wikipedia.org/wiki/Whitewater%E2%80%93Baldy_complex_Fire,Largest wildfire in New Mexico history
